encuesta_latitude,encuesta_longitude,est,id,zona
21.179001100000004,-86.8302538,Percepción Seguridad,2,Cancún
21.1747628,-86.8691474,Percepción Seguridad,2,Cancún
21.1498107,-86.8434617,Percepción Seguridad,2,Cancún
21.179706799999998,-86.87346120000001,Percepción Seguridad,2,Cancún
21.186132100000002,-86.8768402,Percepción Seguridad,2,Cancún
21.1979822,-86.85821700000001,Percepción Seguridad,2,Cancún
21.144375600000004,-86.8811069,Percepción Seguridad,2,Cancún
21.1465322,-86.8563466,Percepción Seguridad,2,Cancún
21.1648333,-86.8811983,Percepción Seguridad,2,Cancún
21.182471600000003,-86.8486016,Percepción Seguridad,2,Cancún
21.171375199999996,-86.84335440000001,Percepción Seguridad,2,Cancún
21.1560837,-86.83619959999999,Percepción Seguridad,2,Cancún
21.1488552,-86.84275809999998,Percepción Seguridad,2,Cancún
21.191152600000002,-86.8339765,Percepción Seguridad,2,Cancún
21.151209899999998,-86.8694337,Percepción Seguridad,2,Cancún
21.174565,-86.8690473,Percepción Seguridad,2,Cancún
21.1792376,-86.8304228,Percepción Seguridad,2,Cancún
21.175143,-86.8260454,Percepción Seguridad,2,Cancún
21.1798553,-86.873611,Percepción Seguridad,2,Cancún
21.1779268,-86.84567170000001,Percepción Seguridad,2,Cancún
21.1983288,-86.8584134,Percepción Seguridad,2,Cancún
21.1862608,-86.876951,Percepción Seguridad,2,Cancún
21.14443,-86.88106429999999,Percepción Seguridad,2,Cancún
21.148762100000003,-86.9002617,Percepción Seguridad,2,Cancún
21.1488455,-86.8428109,Percepción Seguridad,2,Cancún
21.197976699999998,-86.858515,Percepción Seguridad,2,Cancún
21.164593300000003,-86.8818083,Percepción Seguridad,2,Cancún
21.180495399999998,-86.87302679999999,Percepción Seguridad,2,Cancún
21.1906447,-86.8330729,Percepción Seguridad,2,Cancún
21.1742206,-86.8707129,Percepción Seguridad,2,Cancún
21.17897,-86.8307767,Percepción Seguridad,2,Cancún
21.1819546,-86.8487061,Percepción Seguridad,2,Cancún
21.178448100000004,-86.84564259999999,Percepción Seguridad,2,Cancún
21.171172100000003,-86.84383759999999,Percepción Seguridad,2,Cancún
21.144791,-86.8554748,Percepción Seguridad,2,Cancún
21.148735000000002,-86.8423946,Percepción Seguridad,2,Cancún
21.151061399999996,-86.8695147,Percepción Seguridad,2,Cancún
21.1755996,-86.8256028,Percepción Seguridad,2,Cancún
21.1455171,-86.8816171,Percepción Seguridad,2,Cancún
21.156995000000002,-86.8373017,Percepción Seguridad,2,Cancún
21.1981186,-86.85889300000001,Percepción Seguridad,2,Cancún
21.186762100000003,-86.8765626,Percepción Seguridad,2,Cancún
21.1807783,-86.83233670000001,Percepción Seguridad,2,Cancún
21.1904632,-86.8324631,Percepción Seguridad,2,Cancún
21.164264499999998,-86.8811304,Percepción Seguridad,2,Cancún
21.160330899999998,-86.8259345,Percepción Seguridad,2,Cancún
21.1821217,-86.8482,Percepción Seguridad,2,Cancún
21.180981,-86.87271949999999,Percepción Seguridad,2,Cancún
21.1462083,-86.8827146,Percepción Seguridad,2,Cancún
21.1449678,-86.8557548,Percepción Seguridad,2,Cancún
21.1492453,-86.8427364,Percepción Seguridad,2,Cancún
21.175474100000002,-86.8268177,Percepción Seguridad,2,Cancún
21.1741669,-86.8714688,Percepción Seguridad,2,Cancún
21.181013699999998,-86.8732844,Percepción Seguridad,2,Cancún
21.157125,-86.838125,Percepción Seguridad,2,Cancún
21.1497697,-86.8981306,Percepción Seguridad,2,Cancún
21.1868307,-86.87642679999999,Percepción Seguridad,2,Cancún
21.179551,-86.8314857,Percepción Seguridad,2,Cancún
21.189815499999998,-86.834112,Percepción Seguridad,2,Cancún
21.171756100000003,-86.8435827,Percepción Seguridad,2,Cancún
21.144026999999998,-86.8555458,Percepción Seguridad,2,Cancún
21.1397099,-86.8897857,Percepción Seguridad,2,Cancún
21.150655399999998,-86.8413283,Percepción Seguridad,2,Cancún
21.1626426,-86.82609599999999,Percepción Seguridad,2,Cancún
21.1823383,-86.847635,Percepción Seguridad,2,Cancún
21.163879100000003,-86.8798293,Percepción Seguridad,2,Cancún
21.173637699999997,-86.869943,Percepción Seguridad,2,Cancún
21.152199399999997,-86.8734485,Percepción Seguridad,2,Cancún
21.1984993,-86.8590126,Percepción Seguridad,2,Cancún
21.1986533,-86.8587583,Percepción Seguridad,2,Cancún
21.1895809,-86.835504,Percepción Seguridad,2,Cancún
21.1496684,-86.8421934,Percepción Seguridad,2,Cancún
21.186780600000002,-86.87556500000001,Percepción Seguridad,2,Cancún
21.1438745,-86.85559690000001,Percepción Seguridad,2,Cancún
