Poblacion por sexo
76
71
74
38
25
21
30
54
52
27

37
36
2
44
43
22
17
12
63
58
93
46
48
46
28
28
24
31
6
4
11
46
30
75
58
40
34
11


42
42
3
64
59
27
33
24
55
31
66
62
35
33
52
52
34
13
16
48
36
17
14
7
62
25
28
12
60
62
30
16
37
26
38
72
37
65
36
36
16
10
9
29
62
60
25
29
2
49
37
25
11
74
77
45
43
22


70

57
56
3


39
37
35
32
14
9
54
52
18
20
5
31
25
5
55
64
38
21
34
50
42
10
63
67
39
32
30
38
16
14
61
62
20
59
55
31
29
12

53
18
24
11
36
19
58
56
66
73
54
46
26
27
30
59
25
11
6
5
32
34
66
65
30
8

51
58
80
86
3
6
13
52
40
33
64
24
27
75
62
53
14
26
27
6
2
