uso_salina,beneficio_aqui,Desventaja_cerca,condiciones_considera_salina,efectos_condicion_salina,actividad_limpieza,cuantos_trabajan,trabajo,actividad_productiva,interc_productos_vecinos,c_ayudan,actividad_comun_vecinos,relación_vecinos,problemas_vecinos,frecuencia_favores,vecinos_ayudan,pertenece_organización,conectados al drenaje,Edad
BASURERO,AMBIENTAL,AMBIENTAL,SUCIA,INUNDACIONES,A VECES,UNO,TURISMO,NINGUNA,SIEMPRE,SIEMPRE,NO,BUENA,NUNCA,A VECES,SIEMPRE,RELIGIOSA,SI ,A
NINGUNO,NINGUNO,AMBIENTAL,CONTAMINADA,OLORES,NUNCA ,OTRO,OTRO,NINGUNA,NUNCA,NUNCA,SI ,BUENA,NUNCA,SIEMPRE,SIEMPRE,NINGUNA,SI ,A
NINGUNO,AMBIENTAL,NINGUNO,LIMPIA,INUNDACIONES,A VECES,OTRO,OTRO,NINGUNA,SIEMPRE,SIEMPRE,NO,BUENA,NUNCA,A VECES,NUNCA,NINGUNA,NO,A
NINGUNO,NINGUNO,AMBIENTAL,CONTAMINADA,OLORES,OTRO,TODOS,TURISMO,MANUALIDAD,NUNCA,NUNCA,NO,BUENA,NUNCA,SIEMPRE,SIEMPRE,NINGUNA,SI ,A
BASURERO,NINGUNO,AMBIENTAL,SUCIA,OLORES,A VECES,TODOS,PESCA,OFICIO,NUNCA,NUNCA,NO,BUENA,NUNCA,SIEMPRE,A VECES,POLÍTICA,SI ,A
RECREATIVO,ECONÓMICO,AMBIENTAL,CONTAMINADA,OLORES,NUNCA ,OTRO,TURISMO,ARTESANIA,NUNCA,NUNCA,NO,BUENA,NUNCA,NUNCA,NUNCA,NINGUNA,SI ,B
BASURERO,AMBIENTAL,AMBIENTAL,CONTAMINADA,OLORES,NUNCA ,NINGUNO,TURISMO,NINGUNA,NUNCA,NUNCA,NO,BUENA,NUNCA,NUNCA,NUNCA,NINGUNA,SI ,A
BASURERO,AMBIENTAL,NINGUNO,CONTAMINADA,INUNDACIONES,SIEMPRE,OTRO,COMERCIO,ARTESANIA,NUNCA,NUNCA,SI ,BUENA,NUNCA,SIEMPRE,SIEMPRE,NINGUNA,NO SE,B
NINGUNO,AMBIENTAL,AMBIENTAL,CONTAMINADA,OLORES,A VECES,OTRO,TURISMO,NINGUNA,NUNCA,NUNCA,SI ,BUENA,NUNCA,SIEMPRE,SIEMPRE,NINGUNA,SI ,B
NINGUNO,NINGUNO,NINGUNO,OTRO,OTRO,A VECES,TODOS,OTRO,CULTIVO,A VECES,NUNCA,NO,BUENA,NUNCA,SIEMPRE,SIEMPRE,NINGUNA,SI ,A
NINGUNO,NINGUNO,NINGUNO,SUCIA,OLORES,SIEMPRE,OTRO,GOBIERNO,NINGUNA,NUNCA,NUNCA,NO,NO LOS CONOZCO,NUNCA,NUNCA,NUNCA,NINGUNA,SI ,A
NINGUNO,NINGUNO,AMBIENTAL,CONTAMINADA,OLORES,A VECES,UNO,GOBIERNO,NINGUNA,NUNCA,NUNCA,SI ,BUENA,NUNCA,SIEMPRE,NUNCA,NINGUNA,SI ,A
NINGUNO,ECONÓMICO,AMBIENTAL,CONTAMINADA,OLORES,A VECES,OTRO,TURISMO,MANUALIDAD,A VECES,NUNCA,NO,BUENA,NUNCA,NUNCA,NUNCA,NINGUNA,NO,B
NINGUNO,OTRO,AMBIENTAL,CONTAMINADA,OLORES,NUNCA ,TODOS,PESCA,NINGUNA,NUNCA,NUNCA,SI ,BUENA,NUNCA,NUNCA,SIEMPRE,POLÍTICA,NO,B
BASURERO,NINGUNO,AMBIENTAL,CONTAMINADA,OLORES,A VECES,OTRO,OTRO,NINGUNA,NUNCA,NUNCA,SI ,BUENA,NUNCA,SIEMPRE,SIEMPRE,RELIGIOSA,SI ,A
NINGUNO,AMBIENTAL,AMBIENTAL,CONTAMINADA,OLORES,A VECES,TODOS,PESCA,MANUALIDAD,NUNCA,NUNCA,NO,BUENA,NUNCA,SIEMPRE,SIEMPRE,NINGUNA,SI ,B
NINGUNO,NINGUNO,AMBIENTAL,CONTAMINADA,OLORES,NUNCA ,OTRO,PESCA,NINGUNA,NUNCA,NUNCA,SI ,BUENA,NUNCA,SIEMPRE,SIEMPRE,VECINAL,SI ,B
BASURERO,NINGUNO,NINGUNO,CONTAMINADA,OLORES,SIEMPRE,OTRO,COMERCIO,NINGUNA,NUNCA,NUNCA,NO,BUENA,NUNCA,NUNCA,SIEMPRE,NINGUNA,SI ,A
BASURERO,AMBIENTAL,NINGUNO,SUCIA,BASURA,SIEMPRE,TODOS,TURISMO,MANUALIDAD,A VECES,SIEMPRE,NO,NO LOS CONOZCO,NUNCA,A VECES,NUNCA,RELIGIOSA,SI ,A
BASURERO,NINGUNO,AMBIENTAL,SUCIA,OLORES,NUNCA ,TODOS,GOBIERNO,NINGUNA,A VECES,A VECES,SI ,BUENA,NUNCA,SIEMPRE,SIEMPRE,VECINAL,SI ,A
NINGUNO,NINGUNO,AMBIENTAL,SUCIA,OLORES,A VECES,UNO,TURISMO,NINGUNA,NUNCA,NUNCA,NO,BUENA,NUNCA,A VECES,SIEMPRE,NINGUNA,SI ,B
BASURERO,AMBIENTAL,AMBIENTAL,CONTAMINADA,OLORES,A VECES,OTRO,PESCA,ARTESANIA,A VECES,NUNCA,NO,BUENA,NUNCA,A VECES,A VECES,NINGUNA,NO SE,A
BASURERO,SOCIAL,AMBIENTAL,CONTAMINADA,INUNDACIONES,SIEMPRE,OTRO,COMERCIO,ARTESANIA,NUNCA,NUNCA,SI ,BUENA,A VECES,A VECES,A VECES,VECINAL,NO,B
RECREATIVO,NINGUNO,NINGUNO,SUCIA,OLORES,NUNCA ,UNO,GOBIERNO,OFICIO,NUNCA,A VECES,NO,BUENA,NUNCA,A VECES,SIEMPRE,COMERCIAL,SI ,B
NINGUNO,SOCIAL,NINGUNO,LIMPIA,FLORA Y FAUNA ,A VECES,OTRO,COMERCIO,NINGUNA,A VECES,NUNCA,NO,BUENA,NUNCA,A VECES,SIEMPRE,NINGUNA,SI ,A
NINGUNO,ECONÓMICO,NINGUNO,SUCIA,OTRO,NUNCA ,OTRO,COMERCIO,NINGUNA,SIEMPRE,NUNCA,SI ,BUENA,NUNCA,A VECES,NUNCA,VECINAL,SI ,A
RECREATIVO,SOCIAL,AMBIENTAL,SUCIA,BASURA,A VECES,UNO,COMERCIO,NINGUNA,NUNCA,NUNCA,NO,BUENA,NUNCA,SIEMPRE,SIEMPRE,NINGUNA,SI ,B
BASURERO,SOCIAL,AMBIENTAL,SUCIA,OLORES,A VECES,OTRO,PESCA,NINGUNA,NUNCA,NUNCA,NO,BUENA,NUNCA,NUNCA,A VECES,NINGUNA,SI ,B
BASURERO,ECONÓMICO,ECONÓMICA,CONTAMINADA,OLORES,A VECES,UNO,COMERCIO,CULTIVO,A VECES,SIEMPRE,NO,BUENA,SIEMPRE,A VECES,NUNCA,POLÍTICA,SI ,A
,,,,,,,,,,,SI ,BUENA,NUNCA,SIEMPRE,SIEMPRE,NINGUNA,SI ,A
