encuesta_latitude,encuesta_longitude,zona,id,est
21.238218,-86.7348969,Isla Mujeres,1,Socieconomico y ambiental
21.2384509,-86.7349432,Isla Mujeres,1,Socieconomico y ambiental
21.2286938,-86.7324687,Isla Mujeres,1,Socieconomico y ambiental
21.2229446,-86.7263952,Isla Mujeres,1,Socieconomico y ambiental
21.2386424,-86.7350652,Isla Mujeres,1,Socieconomico y ambiental
21.2385998,-86.7350199,Isla Mujeres,1,Socieconomico y ambiental
21.2292299,-86.732394,Isla Mujeres,1,Socieconomico y ambiental
21.2217283,-86.7265867,Isla Mujeres,1,Socieconomico y ambiental
21.2389627,-86.7352389,Isla Mujeres,1,Socieconomico y ambiental
21.2290301,-86.73181,Isla Mujeres,1,Socieconomico y ambiental
21.2216225,-86.7267227,Isla Mujeres,1,Socieconomico y ambiental
21.2215054,-86.7271983,Isla Mujeres,1,Socieconomico y ambiental
21.2214444,-86.7272366,Isla Mujeres,1,Socieconomico y ambiental
21.2251067,-86.7272655,Isla Mujeres,1,Socieconomico y ambiental
21.2250525,-86.7269262,Isla Mujeres,1,Socieconomico y ambiental
21.2271652,-86.7309442,Isla Mujeres,1,Socieconomico y ambiental
21.2247099,-86.7266055,Isla Mujeres,1,Socieconomico y ambiental
21.2246223,-86.7271108,Isla Mujeres,1,Socieconomico y ambiental
21.2259018,-86.730464,Isla Mujeres,1,Socieconomico y ambiental
21.2241493,-86.7266611,Isla Mujeres,1,Socieconomico y ambiental
21.22622,-86.7311949,Isla Mujeres,1,Socieconomico y ambiental
21.2237,-86.72606,Isla Mujeres,1,Socieconomico y ambiental
21.225629,-86.7309113,Isla Mujeres,1,Socieconomico y ambiental
21.223706,-86.7257463,Isla Mujeres,1,Socieconomico y ambiental
21.2243528,-86.7261172,Isla Mujeres,1,Socieconomico y ambiental
21.2256833,-86.7315253,Isla Mujeres,1,Socieconomico y ambiental
21.225322,-86.7313281,Isla Mujeres,1,Socieconomico y ambiental
21.2244118,-86.7256413,Isla Mujeres,1,Socieconomico y ambiental
21.225204,-86.7306175,Isla Mujeres,1,Socieconomico y ambiental
21.2246488,-86.7254239,Isla Mujeres,1,Socieconomico y ambiental
21.2251464,-86.7298799,Isla Mujeres,1,Socieconomico y ambiental
21.224045,-86.7255167,Isla Mujeres,1,Socieconomico y ambiental
21.2255144,-86.7296728,Isla Mujeres,1,Socieconomico y ambiental
21.2238964,-86.7248319,Isla Mujeres,1,Socieconomico y ambiental
21.2253558,-86.7306764,Isla Mujeres,1,Socieconomico y ambiental
21.2234718,-86.7252544,Isla Mujeres,1,Socieconomico y ambiental
21.2233927,-86.7256906,Isla Mujeres,1,Socieconomico y ambiental
21.224508,-86.7300499,Isla Mujeres,1,Socieconomico y ambiental
21.2230883,-86.7253676,Isla Mujeres,1,Socieconomico y ambiental
21.2227702,-86.7254513,Isla Mujeres,1,Socieconomico y ambiental
21.225505,-86.7296879,Isla Mujeres,1,Socieconomico y ambiental
21.2227444,-86.72568,Isla Mujeres,1,Socieconomico y ambiental
21.2250478,-86.7292031,Isla Mujeres,1,Socieconomico y ambiental
21.222925,-86.72588,Isla Mujeres,1,Socieconomico y ambiental
21.2241608,-86.7298399,Isla Mujeres,1,Socieconomico y ambiental
21.2239636,-86.7294188,Isla Mujeres,1,Socieconomico y ambiental
21.2242617,-86.729057,Isla Mujeres,1,Socieconomico y ambiental
21.2240785,-86.7286554,Isla Mujeres,1,Socieconomico y ambiental
21.2236293,-86.7287085,Isla Mujeres,1,Socieconomico y ambiental
21.2233769,-86.7290294,Isla Mujeres,1,Socieconomico y ambiental
21.2231506,-86.7283859,Isla Mujeres,1,Socieconomico y ambiental
21.2227465,-86.7270001,Isla Mujeres,1,Socieconomico y ambiental
21.2230754,-86.7279112,Isla Mujeres,1,Socieconomico y ambiental
21.2223729,-86.7267374,Isla Mujeres,1,Socieconomico y ambiental
21.2233514,-86.7279257,Isla Mujeres,1,Socieconomico y ambiental
21.2227836,-86.7280879,Isla Mujeres,1,Socieconomico y ambiental
21.2223307,-86.7268935,Isla Mujeres,1,Socieconomico y ambiental
21.2219361,-86.7267528,Isla Mujeres,1,Socieconomico y ambiental
21.2307765,-86.7335594,Isla Mujeres,1,Socieconomico y ambiental
21.2312693,-86.7325378,Isla Mujeres,1,Socieconomico y ambiental
21.2309418,-86.7322752,Isla Mujeres,1,Socieconomico y ambiental
21.2308576,-86.7322873,Isla Mujeres,1,Socieconomico y ambiental
21.2305064,-86.7322337,Isla Mujeres,1,Socieconomico y ambiental
21.2316648,-86.7330836,Isla Mujeres,1,Socieconomico y ambiental
21.2320766,-86.7329174,Isla Mujeres,1,Socieconomico y ambiental
21.2322397,-86.7335299,Isla Mujeres,1,Socieconomico y ambiental
21.2328082,-86.733908,Isla Mujeres,1,Socieconomico y ambiental
21.2336488,-86.7342113,Isla Mujeres,1,Socieconomico y ambiental
21.2337536,-86.7337295,Isla Mujeres,1,Socieconomico y ambiental
21.2340753,-86.7333154,Isla Mujeres,1,Socieconomico y ambiental
21.2343347,-86.7335354,Isla Mujeres,1,Socieconomico y ambiental
21.2344738,-86.7336758,Isla Mujeres,1,Socieconomico y ambiental
21.2349862,-86.7342503,Isla Mujeres,1,Socieconomico y ambiental
21.2360941,-86.7357165,Isla Mujeres,1,Socieconomico y ambiental
21.2359938,-86.7348158,Isla Mujeres,1,Socieconomico y ambiental
21.2354076,-86.7332422,Isla Mujeres,1,Socieconomico y ambiental
21.2355962,-86.7328069,Isla Mujeres,1,Socieconomico y ambiental
21.2394156,-86.7379061,Isla Mujeres,1,Socieconomico y ambiental
21.2404577,-86.7383654,Isla Mujeres,1,Socieconomico y ambiental
21.2392739,-86.7382217,Isla Mujeres,1,Socieconomico y ambiental
21.2377126,-86.7380107,Isla Mujeres,1,Socieconomico y ambiental
21.2375391,-86.7374762,Isla Mujeres,1,Socieconomico y ambiental
21.236795,-86.735881,Isla Mujeres,1,Socieconomico y ambiental
21.2367584,-86.7357212,Isla Mujeres,1,Socieconomico y ambiental
