edicion,word,Sentiment,Sentiment
gusta,gusta,4,neutro
habia,habia,1,negativo
habitar,habitar,1,negativo
hace,hace,4,neutro
hace,hae,4,neutro
herencia,heredada,2,negativo
herencia,herencia,2,negativo
hielo,hielo,1,negativo
huracan,huracan,2,negativo
imagen,imagen,4,neutro
independiente,independiente,4,neutro
indiferentes,indiferentes,3,negativo
informacion,informacion,4,neutro
ingles,ingles,4,neutro
ingresar,ingresar,5,positivo
ingresos,ingresos,5,positivo
inquilino,inquilino,4,neutro
intercambio,intercambio,4,neutro
interesada,interesada,6,positivo
interesada,interesadas,6,positivo
interesada,interesado,6,positivo
inundacion,inindaciones,3,negativo
invertir,invertir,4,neutro
inyectar,inyectar,1,negativo
isla,isla,4,neutro
jeova,jeova,4,neutro
lado,lado,4,neutro
limpieza,limieza,6,positivo
limpieza,limpia,6,positivo
limpieza,limpiar,6,positivo
limpieza,limpieza,6,positivo
limpieza,saneamiento,6,positivo
limpieza,sanear,6,positivo
llego,llego,4,neutro
llenaba,llenaba,4,neutro
loncheria,loncheria,4,neutro
lugar,lugar,4,neutro
lugar,lugares,4,neutro
luz,luz,5,positivo
mal,mal,3,negativo
mancha,mancha,1,negativo
manejar,manejar,4,neutro
manualidades,manualidades,4,neutro
mar,mar,5,positivo
marina,marina,4,neutro
marinero,marinero,4,neutro
mariscos,camarones,5,positivo
mariscos,cangrejos,5,positivo
mariscos,marisco,5,positivo
mariscos,mariscos,5,positivo
mariscos,pescado,5,positivo
mecanico,mecanico,4,neutro
media,media,4,neutro
medico,medico,4,neutro
mejor,mejor,5,positivo
mercancia,mercancia,4,neutro
merida,merida,4,neutro
mes,mes,4,neutro
mes,meses,4,neutro
meter,meter,4,neutro
mismos,mismos,4,neutro
modificando,modificando,1,negativo
momento,momento,4,neutro
monte,matas,4,neutro
monte,monte,4,neutro
moscos,moscos,3,negativo
moscos,mosquitos,3,negativo
mostro,mostro,4,neutro
moto,moto,4,neutro
muerta,muerta,3,negativo
mujeres,mujeres,4,neutro
municipal,municipal,4,neutro
municipio,municipio,4,neutro
nada,nada,1,negativo
nada,ninguna,1,negativo
nada,ninguno,1,negativo
nadie,nadie,1,negativo
natural,natrural,5,positivo
natural,natural,5,positivo
necesita,necesita,1,negativo
necesita,necesiten,1,negativo
