1.-¿QUÉ USO LE DAN SUS VECINOS A LA SALINA?,,,,,,,,,
FOLIO,RESPUESTA,OPINION,,,,,,,
027,AMBIENTAL,MOSCOS,,,,,,,
028,AMBIENTAL,,,,,,,,
029,NINGUNO,,,,,,,,
030,AMBIENTAL,,,,,,,,
031,AMBIENTAL,,,,,,,,
032,AMBIENTAL,,,,,,,,
033,AMBIENTAL,,,,,,,,
034,NINGUNO,,,,,,,,
035,AMBIENTAL,,,,,,,,
036,NINGUNO,,,,,,,,
037,NINGUNO,,,,,,,,
038,AMBIENTAL,,,,,,,,
039,AMBIENTAL,,,,,,,,
040,AMBIENTAL,,,,,,,,
041,AMBIENTAL,,,,,,,,
042,AMBIENTAL,,,,,,,,
043,AMBIENTAL,,,,,,,,
044,NINGUNO,,,,,,,,
045,NINGUNO,,,,,,,,
046,AMBIENTAL,,,,,,,,
047,AMBIENTAL,,,,,,,,
048,AMBIENTAL,,,,,,,,
049,AMBIENTAL,,,,,,,,
050,NINGUNO,,,,,,,,
051,NINGUNO,,,,,,,,
052,NINGUNO,,,,,,,,
053,AMBIENTAL,,,,,,,,
054,AMBIENTAL,,,,,,,,
055,ECONÓMICA,NO CRECEN LAS PLANTAS,,,,,,,
,,,,,,,,,
4.-¿EN QUÉ CONDICIONES CONSIDERA QUE SE ENCUENTRA LA SALINA?,,,,,,,,,
FOLIO,RESPUESTA,OPINION,,,,,,,
001,CONTAMINADA,,,,,,,,
002,CONTAMINADA,,,,,,,,
003,SUCIA,,,,,,,,
004,SUCIA,,,,,,,,
005,CONTAMINADA,,,,,,,,
006,CONTAMINADA,LE GUSTA VIVIR CERCA DE LA SALINA,,,,,,,
007,SUCIA,,,,,,,,
008,CONTAMINADA,,,,,,,,
009,SUCIA,,,,,,,,
010,SUCIA,,,,,,,,
011,SUCIA,,,,,,,,
012,SUCIA,,,,,,,,
013,LIMPIA,,,,,,,,
014,SUCIA,,,,,,,,
015,LIMPIA,,,,,,,,
016,CONTAMINADA,,,,,,,,
017,LIMPIA,,,,,,,,
018,CONTAMINADA,,,,,,,,
019,SUCIA,,,,,,,,
020,CONTAMINADA,PERMITE VIDA SILESTRE,,,,,,,
021,SUCIA,,,,,,,,
022,CONTAMINADA,,,,,,,,
023,CONTAMINADA,,,,,,,,
024,CONTAMINADA,,,,,,,,
025,CONTAMINADA,,,,,,,,
026,SUCIA,,,,,,,,
027,SUCIA,,,,,,,,
028,CONTAMINADA,,,,,,,,
029,LIMPIA,,,,,,,,
030,CONTAMINADA,,,,,,,,
031,SUCIA,,,,,,,,
032,CONTAMINADA,,,,,,,,
033,CONTAMINADA,,,,,,,,
034,CONTAMINADA,,,,,,,,
035,CONTAMINADA,,,,,,,,
036,OTRO,REGULAR,,,,,,,
037,SUCIA,,,,,,,,
038,CONTAMINADA,,,,,,,,
039,CONTAMINADA,,,,,,,,
040,CONTAMINADA,,,,,,,,
041,CONTAMINADA,,,,,,,,
042,CONTAMINADA,,,,,,,,
043,CONTAMINADA,,,,,,,,
044,CONTAMINADA,,,,,,,,
045,SUCIA,,,,,,,,
046,SUCIA,,,,,,,,
047,SUCIA,,,,,,,,
048,CONTAMINADA,,,,,,,,
049,CONTAMINADA,,,,,,,,
050,SUCIA,,,,,,,,
051,LIMPIA,,,,,,,,
052,SUCIA,,,,,,,,
053,SUCIA,,,,,,,,
054,SUCIA,,,,,,,,
055,CONTAMINADA,,,,,,,,
,,,,,,,,,
5.-¿QUÉ EFECTOS GENERA LA CONDICIÓN (SUCIA O CONTAMINADA) DE LA SALINA?,,,,,,,,,
FOLIO,RESPUESTA,OPINION,,,,,,,
001,OLORES,,,,,,,,
002,OLORES,MANCHA LA ROPA Y MOSCOS,,,,,,,
003,OLORES,MOSQUITOS Y CANGREJOS,,,,,,,
004,OLORES,,,,,,,,
005,OLORES,MOSCOS,,,,,,,
006,OLORES,POR TEMPORADAS,,,,,,,
007,OLORES,MOSCOS,,,,,,,
008,OTRO,NINGUNA,,,,,,,
009,OLORES,,,,,,,,
010,OTRO,MOSCOS,,,,,,,
011,OLORES,,,,,,,,
