1.-¿CUÁNTAS PERSONAS DE ESTA FAMILIA TRABAJAN?,,,,,,,
FOLIO,RESPUESTA,R:OTRO,,,,,
050,OFICIO,COMIDA,,,,,
051,NINGUNA,RENTA UN CUARTO,,,,,
052,NINGUNA,,,,,,
053,NINGUNA,,,,,,
054,NINGUNA,,,,,,
055,CULTIVO,AUTOCONSUMO,,,,,
,,,,,,,
4.-¿INTERCAMBIAN PRODUCTOS CON SUS VECINOS?,,,,,,,
FOLIO,RESPUESTA,R:OTRO,,,,,
001,NUNCA,,,,,,
002,SIEMPRE,"HIERBA BUENA, EPAZOTE",,,,,
003,A VECES,,,,,,
004,NUNCA,,,,,,
005,A VECES,,,,,,
006,NUNCA,,,,,,
007,NUNCA,,,,,,
008,NUNCA,,,,,,
009,NUNCA,,,,,,
010,NUNCA,,,,,,
011,NUNCA,,,,,,
012,NUNCA,,,,,,
013,NUNCA,,,,,,
014,A VECES,"TOMATE, CILANTRO",,,,,
015,NUNCA,,,,,,
016,NUNCA,,,,,,
017,NUNCA,,,,,,
018,A VECES,,,,,,
019,A VECES,,,,,,
020,NUNCA,,,,,,
021,A VECES,"POCO, CADA QUIÉN ES INDEPENDIENTE",,,,,
022,SIEMPRE,,,,,,
023,NUNCA,,,,,,
024,NUNCA,,,,,,
025,NUNCA,,,,,,
026,NUNCA,,,,,,
027,SIEMPRE,,,,,,
028,NUNCA,,,,,,
029,SIEMPRE,,,,,,
030,NUNCA,,,,,,
031,NUNCA,,,,,,
032,NUNCA,,,,,,
033,NUNCA,,,,,,
034,NUNCA,,,,,,
035,NUNCA,,,,,,
036,A VECES,,,,,,
037,NUNCA,,,,,,
038,NUNCA,,,,,,
039,A VECES,,,,,,
040,NUNCA,,,,,,
041,NUNCA,,,,,,
042,NUNCA,,,,,,
043,NUNCA,,,,,,
044,NUNCA,,,,,,
045,A VECES,MANUALIDADES,,,,,
046,A VECES,MARISCOS,,,,,
047,NUNCA,,,,,,
048,A VECES,MANUALIDADES,,,,,
049,NUNCA,,,,,,
050,NUNCA,,,,,,
051,A VECES,SE FIAN PESCADO,,,,,
052,SIEMPRE,COMIDA,,,,,
053,NUNCA,,,,,,
054,NUNCA,,,,,,
055,A VECES,,,,,,
,,,,,,,
5.-¿ SE AYUDAN ENTRE VECINOS PARA ALGÚN TRABAJO QUE BENEFICIE LA ECONOMÍA FAMILIAR DENTRO DE SUS CASAS?,,,,,,,
FOLIO,RESPUESTA,R:OTRO,,,,,
001,NUNCA,,,,,,
002,NUNCA,,,,,,
003,NUNCA,,,,,,
004,NUNCA,,,,,,
005,SIEMPRE,,,,,,
006,NUNCA,,,,,,
007,NUNCA,,,,,,
008,NUNCA,,,,,,
009,NUNCA,,,,,,
010,SIEMPRE,,,,,,
011,NUNCA,,,,,,
012,NUNCA,,,,,,
013,NUNCA,,,,,,
014,NUNCA,,,,,,
015,NUNCA,,,,,,
016,NUNCA,,,,,,
